0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:53 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:53 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:53 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:53 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:53 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:42 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:42 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:42 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:42 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:42 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:42 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:14:43 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:23 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:24 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:17:24 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:19:12 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:19:12 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:19:12 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:19:12 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:19:12 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:19:13 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:30 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:31 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:31 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:31 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:31 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:31 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:21:31 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:24:25 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:24:25 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:24:25 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
